iter	Passed	Remaining
0	549	273983
1	1113	277370
2	1653	273921
3	2176	269927
4	2699	267284
5	3212	264455
6	3746	263891
7	4267	262438
8	4746	258926
9	5266	258035
10	5766	256326
11	6258	254495
12	6765	253458
13	7260	252049
14	7761	250959
15	8241	249298
16	8729	248029
17	9220	246916
18	9747	246765
19	10202	244861
20	10685	243732
21	11128	241793
22	11598	240539
23	12137	240730
24	12608	239559
25	13073	238339
26	13542	237253
27	14022	236384
28	14476	235122
29	14958	234347
30	15419	233286
31	15924	232896
32	16390	231943
33	16863	231126
34	17386	230992
35	17874	230388
36	18292	228902
37	18694	227290
38	19144	226298
39	19649	225972
40	20083	224840
41	20589	224523
42	21060	223833
43	21490	222714
44	21890	221341
45	22406	221139
46	22870	220429
47	23332	219709
48	23759	218685
49	24240	218168
50	24721	217647
51	25167	216824
52	25644	216285
53	26138	215880
54	26540	214740
55	27022	214253
56	27441	213276
57	27899	212613
58	28284	211415
59	28757	210888
60	29160	209858
61	29590	209043
62	29995	208062
63	30389	207026
64	30786	206030
65	31294	205784
66	31815	205610
67	32240	204818
68	32720	204383
69	33050	203023
70	33507	202463
71	33992	202068
72	34433	201410
73	34820	200455
74	35262	199819
75	35637	198818
76	36108	198361
77	36542	197706
78	36959	196963
79	37378	196235
80	37816	195619
81	38286	195168
82	38655	194209
83	39083	193556
84	39572	193205
85	39983	192477
86	40467	192104
87	40924	191600
88	41394	191158
89	41877	190773
90	42294	190092
91	42705	189389
92	43146	188825
93	43578	188223
94	43991	187543
95	44426	186961
96	44812	186179
97	45255	185641
98	45715	185171
99	46150	184603
100	46560	183935
101	47004	183411
102	47536	183221
103	47970	182657
104	48402	182087
105	48860	181612
106	49307	181102
107	49724	180479
108	50102	179724
109	50498	179040
110	50973	178636
111	51472	178316
112	51822	177480
113	52223	176827
114	52689	176395
115	53148	175939
116	53558	175322
117	54028	174904
118	54461	174366
119	54874	173768
120	55316	173263
121	55816	172940
122	56266	172457
123	56715	171976
124	57174	171524
125	57646	171109
126	58016	170394
127	58407	169745
128	58894	169378
129	59221	168554
130	59717	168213
131	60134	167649
132	60507	166965
133	60874	166270
134	61365	165912
135	61786	165370
136	62251	164943
137	62602	164217
138	63007	163637
